,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
대전,유성구,구성동,99.55,28,672,669,0.5,0.2,1.0,2019022110,,,0.4,0.9,201902210411,,
대전,유성구,노은동,99.55,28,672,669,0.6,0.2,1.5,2019022401,,,0.5,1.1,201902060108,,
대전,대덕구,문평동,99.55,28,672,669,0.6,0.3,1.2,2019022107,,,0.5,1.1,201902210108,,
대전,동구,성남동,98.95,28,666,665,0.7,0.3,1.6,2019020313,,,0.5,1.2,201902210310,,
대전,서구,정림동,99.40,28,672,668,0.6,0.3,1.2,2019022210,,,0.4,1.0,201902220512,,
대전,서구,둔산동,99.40,28,672,668,0.6,0.2,1.3,2019020312,,,0.5,0.9,201902031017,,
대전,동구,대성동,99.85,28,672,671,0.5,0.2,1.1,2019022209,,,0.4,0.8,201902172003,,
대전,대덕구,상대동,99.40,28,672,668,0.5,0.2,1.0,2019022201,,,0.4,0.9,201902210108,,
울산,중구,성남동,99.70,28,672,670,0.4,0.2,1.1,2019020223,,,0.4,0.9,201902030512,,
울산,남구,부곡동,99.40,28,666,668,0.6,0.4,2.5,2019021901,,,0.5,1.0,201902031724,,
울산,남구,여천동,78.12,21,524,525,0.7,0.2,2.5,2019021601,,,0.4,1.7,201902010310,,
울산,남구,야음동,99.25,28,666,667,0.6,0.4,1.6,2019020311,,,0.5,1.1,201902030512,,
울산,남구,신정동,99.40,28,672,668,0.6,0.4,1.6,2019020312,,,0.5,1.2,201902030411,,
울산,울주군,덕신리,96.72,26,648,650,0.7,0.5,1.4,2019020708,,,0.6,1.0,201902030108,,
울산,울주군,삼남면,99.40,28,672,668,0.6,0.4,1.1,2019021020,,,0.5,0.8,201902030108,,
울산,북구,효문동,99.40,28,666,668,0.5,0.2,1.2,2019021019,,,0.4,0.8,201902032104,,
울산,울주군,화산리,98.36,28,672,661,0.7,0.4,1.5,2019020310,,,0.5,1.1,201902030815,,
울산,울주군,상남리,99.10,28,665,666,0.5,0.3,1.1,2019022619,,,0.4,0.7,201902101623,,
울산,동구,대송동,99.40,28,672,668,0.6,0.3,1.2,2019020320,,,0.5,1.1,201902031320,,
울산,남구,무거동,99.25,28,672,667,0.6,0.3,1.3,2019020312,,,0.6,1.0,201902030512,,
울산,남구,삼산동,99.55,28,672,669,0.7,0.4,1.4,2019021020,,,0.6,1.1,201902101623,,
울산,북구,농소동,98.36,28,664,661,0.8,0.5,1.7,2019021019,,,0.7,1.2,201902030310,,
