  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
인천,동구,송림,823621,92.33,29,687,0.008,0.002,0.032,2019051112,,,0.003,0.015,20190511,,
인천,남동구,구월동,823631,96.23,29,716,0.005,0.002,0.014,2019050314,,,0.003,0.008,20190510,,
인천,남구,숭의,823632,93.27,27,694,0.007,0.002,0.026,2019051306,,,0.003,0.011,20190517,,
인천,부평구,부평,823641,95.69,29,712,0.006,0.002,0.018,2019051113,,,0.003,0.010,20190504,,
인천,서구,연희,823651,99.05,31,737,0.005,0.002,0.016,2019050314,,,0.003,0.008,20190503,,
인천,서구,석남,823681,98.92,31,736,0.008,0.004,0.025,2019050510,,,0.005,0.013,20190504,,
인천,계양구,계산,823662,95.69,29,712,0.004,0.002,0.011,2019050314,,,0.002,0.006,20190503,,
인천,남동구,고잔,823671,95.16,29,708,0.008,0.003,0.032,2019050405,,,0.004,0.013,20190504,,
인천,강화군,송해,823691,96.10,29,715,0.005,0.003,0.014,2019050313,,,0.004,0.007,20190524,,
인천,서구,검단,823652,99.19,31,738,0.005,0.002,0.045,2019052315,,,0.002,0.010,20190523,,
인천,연수구,동춘,823701,98.92,31,736,0.006,0.002,0.040,2019050807,,,0.003,0.010,20190508,,
인천,중구,운서,823702,99.19,31,738,0.004,0.002,0.017,2019050313,,,0.002,0.007,20190503,,
인천,남동구,논현,823704,98.38,31,732,0.006,0.002,0.029,2019051108,,,0.003,0.009,20190523,,
인천,서구,원당,823801,95.56,29,711,0.005,0.002,0.039,2019050511,,,0.003,0.012,20190504,,
인천,연수구,송도,823706,99.19,31,738,0.007,0.003,0.059,2019050509,,,0.003,0.012,20190505,,
인천,서구,청라,823705,95.96,29,714,0.007,0.003,0.033,2019050323,,,0.004,0.013,20190504,,
광주,동구,서석동,324115,98.38,31,732,0.003,0.001,0.009,2019051712,,,0.002,0.005,20190517,,
광주,서구,농성동,324121,98.52,31,733,0.003,0.001,0.015,2019051623,,,0.001,0.007,20190517,,
광주,북구,두암동,324133,98.92,31,736,0.003,0.001,0.010,2019051624,,,0.002,0.005,20190517,,
광주,광산구,송정1동,324141,98.65,31,734,0.003,0.001,0.009,2019051712,,,0.002,0.005,20190517,,
광주,광산구,오선동,324142,98.65,31,734,0.003,0.001,0.009,2019051713,,,0.002,0.004,20190504,,
광주,북구,건국동,324135,98.52,31,733,0.002,0.001,0.008,2019051213,,,0.002,0.004,20190517,,
광주,남구,주월동,324155,98.65,31,734,0.003,0.001,0.010,2019051712,,,0.002,0.005,20190517,,
대전,대덕구,읍내동,525111,99.59,31,741,0.003,0.001,0.022,2019051007,,,0.001,0.008,20190504,,
대전,중구,문창동,525121,99.46,31,740,0.002,0.001,0.011,2019051023,,,0.001,0.004,20190504,,
대전,유성구,구성동,525141,99.59,31,741,0.003,0.001,0.013,2019051022,,,0.001,0.005,20190511,,
대전,유성구,노은동,525142,99.46,31,740,0.002,0.001,0.009,2019051022,,,0.002,0.003,20190504,,
대전,대덕구,문평동,525112,99.32,31,739,0.002,0.001,0.013,2019051020,,,0.001,0.005,20190510,,
대전,동구,성남동,525161,99.59,31,741,0.003,0.001,0.014,2019051024,,,0.002,0.005,20190504,,
대전,서구,정림동,525171,99.59,31,741,0.002,0.001,0.009,2019052616,,,0.001,0.004,20190524,,
대전,서구,둔산동,525172,99.46,31,740,0.002,0.001,0.012,2019051022,,,0.001,0.005,20190504,,
대전,동구,대성동,525162,99.59,31,741,0.003,0.002,0.009,2019051120,,,0.002,0.004,20190504,,
대전,대덕구,상대동,525143,99.59,31,741,0.002,0.002,0.008,2019051119,,,0.002,0.003,20190503,,
울산,중구,성남동,238121,99.46,31,740,0.006,0.002,0.037,2019050320,,,0.002,0.015,20190511,,
