,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
인천,남구,숭의,823632,99.19,31,738,738,0.4,0.2,0.9,2019081812,,,0.3,0.7,201908180714,,
인천,부평구,부평,823641,89.65,27,665,667,0.4,0.1,0.9,2019081813,,,0.2,0.7,201908180714,,
인천,서구,연희,823651,96.90,30,723,721,0.4,0.2,0.8,2019081622,,,0.3,0.7,201908221623,,
인천,서구,석남,823681,99.19,31,744,738,0.4,0.2,0.9,2019081622,,,0.3,0.7,201908180613,,
인천,계양구,계산,823662,98.65,31,738,734,0.7,0.4,1.3,2019081612,,,0.5,1.0,201908161017,,
인천,남동구,고잔,823671,87.63,27,648,652,0.4,0.1,1.2,2019083010,,,0.3,0.8,201908300310,,
인천,강화군,송해,823691,98.92,31,744,736,0.4,0.2,0.7,2019081622,,,0.2,0.6,201908210108,,
인천,서구,검단,823652,99.32,31,744,739,0.4,0.2,0.8,2019081622,,,0.3,0.7,201908231902,,
인천,연수구,동춘,823701,98.79,31,732,735,0.4,0.2,0.8,2019080224,,,0.2,0.7,201908180815,,
인천,중구,운서,823702,98.92,31,744,736,0.4,0.2,0.9,2019081810,,,0.3,0.7,201908180512,,
인천,남동구,논현,823704,99.05,31,744,737,0.4,0.2,0.9,2019081621,,,0.3,0.7,201908161623,,
인천,서구,원당,823801,95.96,29,711,714,0.4,0.2,0.8,2019081622,,,0.3,0.7,201908231902,,
인천,연수구,송도,823706,99.05,31,738,737,0.4,0.2,0.8,2019081813,,,0.3,0.7,201908180815,,
인천,서구,청라,823705,98.65,31,737,734,0.4,0.2,0.9,2019081812,,,0.3,0.7,201908180714,,
광주,동구,서석동,324115,91.66,27,677,682,0.4,0.1,0.7,2019080923,,,0.2,0.6,201908050310,,
광주,서구,농성동,324121,98.92,31,744,736,0.5,0.2,1.0,2019082624,,,0.3,0.9,201908270108,,
광주,북구,두암동,324133,92.06,27,685,685,0.4,0.2,1.5,2019081004,,,0.3,0.9,201908100108,,
광주,광산구,송정1동,324141,98.79,31,738,735,0.3,0.1,0.8,2019082705,,,0.1,0.6,201908240108,,
광주,광산구,오선동,324142,98.65,31,738,734,0.5,0.2,1.1,2019081007,,,0.3,0.8,201908100108,,
광주,북구,건국동,324135,98.92,31,744,736,0.4,0.2,0.9,2019082704,,,0.3,0.7,201908270108,,
광주,남구,주월동,324155,98.92,31,744,736,0.4,0.2,0.9,2019082623,,,0.2,0.7,201908201902,,
대전,대덕구,읍내동,525111,99.73,31,744,742,0.5,0.2,0.9,2019081909,,,0.3,0.8,201908190108,,
대전,중구,문창동,525121,96.50,29,715,718,0.4,0.2,0.7,2019081909,,,0.2,0.6,201908050108,,
