     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
광주,북구,건국동,99 ,31 ,744 ,734 ,1 ,0 ,1 ,2019011418 ,,,0 ,1 ,201901150310 ,,
광주,남구,주월동,99 ,31 ,732 ,733 ,1 ,0 ,1 ,2019011409 ,,,0 ,1 ,201901140411 ,,
대전,대덕구,읍내동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901010108 ,,
대전,중구,문창동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019012301 ,,,1 ,2 ,201901232306 ,,
대전,유성구,구성동,100 ,31 ,744 ,742 ,1 ,0 ,1 ,2019011422 ,,,0 ,1 ,201901150108 ,,
대전,유성구,노은동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019010724 ,,,0 ,1 ,201901082306 ,,
대전,대덕구,문평동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019011404 ,,,1 ,1 ,201901140108 ,,
대전,동구,성남동,100 ,31 ,744 ,742 ,1 ,0 ,3 ,2019012309 ,,,1 ,2 ,201901230310 ,,
대전,서구,정림동,100 ,31 ,744 ,742 ,1 ,0 ,1 ,2019012310 ,,,0 ,1 ,201901141623 ,,
대전,서구,둔산동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019012310 ,,,0 ,1 ,201901140310 ,,
대전,동구,대성동,100 ,31 ,744 ,742 ,1 ,0 ,1 ,2019012309 ,,,0 ,1 ,201901141724 ,,
대전,대덕구,상대동,100 ,31 ,744 ,742 ,1 ,0 ,1 ,2019011503 ,,,0 ,1 ,201901152003 ,,
울산,중구,성남동,97 ,30 ,715 ,720 ,0 ,0 ,1 ,2019011001 ,,,0 ,1 ,201901181724 ,,
울산,남구,부곡동,99 ,31 ,738 ,739 ,1 ,0 ,4 ,2019012923 ,,,0 ,2 ,201901302104 ,,
울산,남구,여천동,99 ,31 ,744 ,740 ,1 ,0 ,3 ,2019011823 ,,,1 ,2 ,201901020209 ,,
